,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918
MON,20.69,14.29,19.66,21.84,19.25,24.06,22.75,19.22,0,17.24,13.97,14.95,16.15,16.72,14.53,18.28,15.73,19.01,16.28,20.10,18.37,19.53,18.49,15.88,21.00,15.87,20.87,25.36,23.69,19.73,22.22,24.24,24.08,29.17,28.33,31.88,24.89,26.60,26.29,20.08,21.76,27.07,24.83,20.28,17.70,20.41,20.16,23.46,17.38,15.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LA,19.88,16.96,16.15,20.85,19.17,17.44,18.33,14.23,0,14.04,14.69,20.68,19.35,16.85,13.15,14.21,13.61,17.96,17.50,20.72,20.12,19.22,20.46,22.16,20.76,21.73,24.94,17.56,23.51,20.83,23.82,21.13,24.59,26.69,23.90,19.69,26.88,18.26,18.06,15.14,17.63,13.97,15.36,14.18,12.86,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIC,16.67,15.16,23.10,17.69,19.28,15.89,11.81,12.23,0,15.76,12.66,17.88,12.89,16.00,14.93,12.95,14.80,17.70,24.53,17.49,18.43,17.34,22.14,22.92,20.97,23.00,16.98,25.60,21.75,20.18,27.22,24.76,22.19,23.79,16.60,20.98,22.10,21.11,21.71,21.57,21.31,16.86,20.62,20.37,20.00,15.81,21.98,24.91,14.12,18.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
ANA,21.48,16.61,23.51,21.00,23.62,16.62,22.36,18.13,0,18.06,16.09,11.53,17.69,16.57,21.96,11.73,16.82,14.08,11.39,14.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,14.11,17.05,19.35,17.57,20.95,18.03,17.44,21.17,0,15.80,14.41,13.33,16.09,10.54,13.50,12.88,13.19,15.93,18.60,22.64,20.34,22.53,18.25,22.07,20.53,17.24,18.68,20.51,23.60,21.58,21.54,20.93,23.55,24.36,20.60,22.22,22.90,25.44,27.39,18.75,19.26,18.51,18.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYR,15.69,15.71,16.90,18.27,13.87,16.49,18.47,18.78,0,14.29,16.22,14.72,17.91,16.92,20.40,17.66,21.95,19.81,20.00,23.02,18.33,20.93,23.39,23.30,18.60,22.61,20.00,20.17,23.61,25.08,22.40,22.22,17.95,25.99,24.51,27.96,20.69,20.74,28.38,29.73,22.69,23.35,25.64,17.63,20.36,21.20,17.59,15.60,17.13,15.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
DAL,16.96,13.52,17.97,18.60,15.38,18.08,18.50,17.67,0,15.85,18.96,17.14,19.62,15.74,18.83,20.00,14.65,15.12,15.73,18.41,19.10,17.04,19.90,20.98,19.90,18.00,23.38,23.78,21.19,26.76,26.38,24.59,21.57,23.73,21.80,14.94,17.40,14.50,15.36,17.87,15.61,20.23,14.67,20.80,19.11,21.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAL,20.00,17.69,19.50,16.04,17.04,16.76,18.20,18.20,0,15.13,12.08,15.11,14.94,17.88,14.29,12.08,16.90,18.39,18.48,21.22,19.02,21.01,23.70,27.73,24.94,28.46,25.16,24.73,25.00,21.55,23.81,26.90,26.91,23.61,23.89,22.05,19.63,19.18,19.79,16.67,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL,19.46,16.73,18.64,17.21,20.51,14.07,12.07,14.65,0,17.89,20.46,17.42,18.70,17.84,20.27,16.85,15.29,16.52,16.36,20.48,21.88,19.22,20.11,22.51,20.00,19.85,24.38,21.55,21.93,22.77,21.14,22.09,23.68,18.34,17.08,16.67,18.88,18.46,17.48,14.18,14.74,14.07,17.95,25.09,15.20,17.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,14.55,16.67,15.90,17.02,18.72,18.81,14.99,17.89,0,10.68,13.81,16.11,18.85,16.96,10.99,13.23,18.07,18.01,17.24,14.95,17.57,17.63,18.11,20.10,20.81,17.61,20.74,21.96,22.74,24.32,19.32,23.29,18.87,19.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
