,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918
CHIC,444,848,742,924,1157,1383,1332,1544,0,1318,1189,1234,1001,1444,1807,1546,1763,1880,1123,2125,2394,2663,2412,2426,2496,2228,1692,1537,1432,1358,1185,1775,1660,1325,1254,1308,1104,944,1112,877,864,844,1280,901,842,606,757,815,1051,1116,906,894,1072,970,921,906,809,826,733,797,736,627,615,620,695,572,467,339,245,240,361,365,335,351,367,238,291,411,375,337,401,464,416,573,363,375,448,0,0,0,0,0,0,0,0,0
ANA,535,980,1178,1321,1426,1481,1457,1459,0,1131,954,1254,1136,926,1323,1843,1710,1707,731,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,630,904,958,918,1121,1004,1200,1164,0,1289,1276,1217,1249,1173,1561,1768,1840,2195,1022,1760,1873,2713,1733,1449,2034,2277,1810,1608,1221,1190,1031,1425,1194,967,1026,800,848,943,1229,787,940,831,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYR,444,1059,1074,1159,1199,1154,1109,1194,0,1459,1308,1753,1522,916,1087,1548,1481,1849,781,1688,1657,1805,1893,2021,1891,1775,1718,1496,1301,1471,1100,1402,1981,1342,1214,1057,1164,911,1053,782,765,1010,952,853,806,673,664,894,760,715,657,668,591,850,860,781,870,911,690,717,548,532,774,639,413,480,426,285,305,253,352,400,356,520,393,435,312,381,334,401,599,511,514,445,384,462,385,0,0,0,0,0,0,0,0,0
DAL,623,1032,1066,963,1144,1176,1133,1496,0,1143,1166,959,1041,1029,1108,1301,1325,1652,1117,1919,1885,2169,1964,2041,1972,2313,1936,1672,1735,1696,1520,1358,1624,1064,1102,1096,774,1191,1106,821,881,853,898,1008,862,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAL,518,885,836,1143,1299,1342,1204,1482,0,1428,1391,1586,1376,1267,1389,1859,1444,1524,1249,1847,1951,2643,2197,1751,2444,2431,2036,2297,1400,1390,1146,1331,1450,1048,1158,984,889,928,915,841,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL,531,1062,1225,1318,1248,1153,1223,1373,0,1274,1618,1343,1345,1139,1308,1414,1336,1823,1077,1659,1889,2041,1987,1809,1675,1919,1572,1478,1301,1614,1281,1579,1657,1037,1055,845,877,1274,1275,1147,1195,1150,1092,876,838,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,538,763,835,966,802,1183,1021,1125,0,1102,1208,1022,1083,799,1158,1455,1513,1844,915,1809,2354,1793,2209,2102,1672,2046,1496,1759,1606,1184,1392,1493,1584,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOR,776,824,985,1091,1125,1087,1139,1398,0,1452,1390,1212,1430,1103,1095,1481,1331,1742,744,1877,1815,1734,1962,2419,1740,1782,1827,1716,1627,1682,1481,1888,1830,1158,1440,1258,1200,1368,1079,903,716,887,1133,898,961,634,736,811,1068,928,816,762,844,859,846,861,829,1051,990,1022,812,841,823,804,706,758,669,247,317,303,431,341,306,485,370,404,371,579,444,529,622,625,540,613,541,436,546,325,249,178,200,114,254,219,262,355
MIN,545,994,983,924,889,1098,862,1209,0,1035,1063,1209,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
