
Rk,Team ▴,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,Atlanta Flames,80,34,31,15,83,.519,243,233,0.16,0.03,5.95,56,283,19.79,56,270,79.26,4,9,2268,10.7,,,
2,Boston Bruins*,80,40,26,14,94,.588,345,245,1.18,-0.07,7.38,86,299,28.76,59,316,81.33,14,10,2793,12.4,,,
3,Buffalo Sabres*,80,49,16,15,113,.706,354,240,1.35,-0.08,7.43,83,303,27.39,56,326,82.82,17,5,2957,12.0,,,
4,California Golden Seals,80,19,48,13,51,.319,212,316,-1.18,0.12,6.60,48,359,13.37,67,267,74.91,5,13,2149,9.9,,,
5,Chicago Black Hawks*,80,37,35,8,82,.513,268,241,0.28,-0.06,6.36,71,327,21.71,62,311,80.06,3,7,2473,10.8,,,
6,Detroit Red Wings,80,23,45,12,58,.363,259,335,-0.89,0.06,7.43,76,355,21.41,69,339,79.65,15,14,2345,11.0,,,
7,Kansas City Scouts,80,15,54,11,41,.256,184,328,-1.71,0.09,6.40,57,351,16.24,53,233,77.25,6,6,2223,8.3,,,
8,Los Angeles Kings*,80,42,17,21,105,.656,269,185,0.97,-0.08,5.68,52,288,18.06,48,327,85.32,10,7,2340,11.5,,,
9,Minnesota North Stars,80,23,50,7,53,.331,221,341,-1.43,0.07,7.03,45,293,15.36,81,303,73.27,3,10,2200,10.0,,,
10,Montreal Canadiens*,80,47,14,19,113,.706,374,225,1.72,-0.14,7.49,92,350,26.29,54,314,82.80,8,10,2553,14.6,,,
11,New York Islanders*,80,33,25,22,88,.550,264,221,0.52,-0.01,6.06,51,273,18.68,55,340,83.82,11,7,2364,11.2,,,
12,New York Rangers*,80,37,29,14,88,.550,319,276,0.54,0.01,7.44,84,296,28.38,54,295,81.69,6,7,2714,11.8,,,
13,Philadelphia Flyers*,80,51,18,11,113,.706,293,181,1.32,-0.08,5.93,64,257,24.90,74,466,84.12,15,6,2696,10.9,,,
14,Pittsburgh Penguins*,80,37,28,15,89,.556,326,289,0.42,-0.04,7.69,64,323,19.81,63,324,80.56,13,11,2760,11.8,,,
15,St. Louis Blues*,80,35,31,14,84,.525,269,267,-0.01,-0.04,6.70,50,286,17.48,77,329,76.60,6,5,2495,10.8,,,
16,Toronto Maple Leafs*,80,31,33,16,78,.488,280,309,-0.32,0.05,7.36,60,340,17.65,76,304,75.00,11,10,2738,10.2,,,
17,Vancouver Canucks*,80,38,32,10,86,.538,271,254,0.16,-0.05,6.56,70,337,20.77,59,300,80.33,5,5,2431,11.1,,,
18,Washington Capitals,80,8,67,5,21,.131,181,446,-3.09,0.22,7.84,48,372,12.90,94,328,71.34,8,18,1843,9.8,,,
,League Average,80,32,35,13,77,.479,269,283,-0.16,0.01,6.91,64,319,19.92,66,315,79.16,9,9,2614,10.3,,,
