
Rk,Team ▴,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,Atlanta Thrashers,82,41,33,8,90,.549,281,275,-0.03,-0.10,6.78,100,527,18.98,102,492,79.27,13,10,2522,10.9,2477,.893,
2,Boston Bruins,82,29,37,16,74,.451,230,266,-0.36,0.08,6.05,62,418,14.83,78,479,83.72,9,10,2511,9.1,2627,.904,
3,Buffalo Sabres*,82,52,24,6,110,.671,281,239,0.50,-0.01,6.34,101,477,21.17,59,439,86.56,10,17,2510,11.0,2497,.908,
4,Calgary Flames*,82,46,25,11,103,.628,218,200,0.30,0.08,5.10,87,478,18.20,80,508,84.25,8,7,2299,9.4,2256,.917,
5,Carolina Hurricanes*,82,52,22,8,112,.683,294,260,0.29,-0.13,6.76,95,531,17.89,81,445,81.80,17,13,2553,11.2,2492,.898,
6,Chicago Blackhawks,82,26,43,13,65,.396,211,285,-0.86,0.04,6.05,51,417,12.23,88,547,83.91,6,12,2480,8.4,2411,.887,
7,Colorado Avalanche*,82,43,30,9,95,.579,283,257,0.39,0.07,6.59,89,473,18.82,69,448,84.60,11,12,2464,11.4,2408,.899,
8,Columbus Blue Jackets,82,35,43,4,74,.451,223,279,-0.66,0.02,6.12,64,451,14.19,95,523,81.84,10,8,2250,9.6,2754,.903,
9,Dallas Stars*,82,53,23,6,112,.683,265,218,0.61,0.04,5.89,88,498,17.67,82,504,83.73,10,7,2336,10.8,2096,.898,
10,Detroit Red Wings*,82,58,16,8,124,.756,305,209,1.03,-0.14,6.27,102,461,22.13,67,461,85.47,7,10,2796,10.8,2176,.908,
11,Edmonton Oilers*,82,41,28,13,95,.579,256,251,0.15,0.09,6.18,88,485,18.14,76,478,84.10,15,5,2442,10.2,2090,.887,
12,Florida Panthers,82,37,34,11,85,.518,240,257,-0.28,-0.07,6.06,63,411,15.33,91,514,82.30,5,12,2724,8.7,2848,.913,
13,Los Angeles Kings,82,42,35,5,89,.543,249,270,-0.15,0.11,6.33,77,541,14.23,104,489,78.73,15,12,2394,10.2,2450,.894,
14,Mighty Ducks of Anaheim*,82,43,27,12,98,.598,254,229,0.37,0.06,5.89,87,480,18.13,84,510,83.53,9,13,2585,9.7,2425,.911,
15,Minnesota Wild,82,38,36,8,84,.512,231,215,0.28,0.08,5.44,77,454,16.96,55,436,87.39,11,7,2194,10.3,2454,.916,
16,Montreal Canadiens*,82,42,31,9,93,.567,243,247,-0.01,0.04,5.98,89,463,19.22,91,481,81.08,10,6,2470,9.8,2502,.904,
17,Nashville Predators*,82,49,25,8,106,.646,259,227,0.32,-0.07,5.93,94,512,18.36,82,533,84.62,12,13,2380,10.6,2662,.916,
18,New Jersey Devils*,82,46,27,9,101,.616,242,229,0.05,-0.11,5.74,78,441,17.69,63,349,81.95,3,6,2395,9.7,2400,.908,
19,New York Islanders,82,36,40,6,78,.476,230,278,-0.62,-0.04,6.20,76,450,16.89,99,476,79.20,5,15,2481,8.9,2537,.896,
20,New York Rangers*,82,44,26,12,100,.610,257,215,0.38,-0.14,5.76,83,442,18.78,79,486,83.74,4,9,2448,10.2,2354,.912,
21,Ottawa Senators*,82,52,21,9,113,.689,314,211,1.18,-0.08,6.40,102,490,20.82,73,476,84.66,25,11,2811,11.1,2343,.913,
22,Philadelphia Flyers*,82,45,26,11,101,.616,267,259,0.00,-0.10,6.41,80,444,18.02,97,465,79.14,19,6,2552,10.3,2365,.896,
23,Phoenix Coyotes,82,38,39,5,81,.494,246,271,-0.19,0.12,6.30,96,541,17.74,98,513,80.90,9,11,2318,10.4,2472,.895,
24,Pittsburgh Penguins,82,22,46,14,58,.354,244,316,-0.89,-0.01,6.83,94,495,18.99,113,533,78.80,13,16,2297,10.6,2716,.888,
25,San Jose Sharks*,82,44,27,11,99,.604,266,242,0.36,0.06,6.20,91,500,18.20,77,399,80.70,10,11,2483,10.7,2176,.894,
26,St. Louis Blues,82,21,46,15,57,.348,197,292,-1.09,0.07,5.96,75,512,14.65,82,461,82.21,6,8,2335,8.3,2499,.891,
27,Tampa Bay Lightning*,82,43,33,6,92,.561,252,260,-0.18,-0.08,6.24,81,485,16.70,72,391,81.59,11,11,2594,9.5,2250,.891,
28,Toronto Maple Leafs,82,41,33,8,90,.549,257,270,-0.11,0.05,6.43,107,501,21.36,99,496,80.04,14,12,2323,10.9,2503,.897,
29,Vancouver Canucks,82,42,32,8,92,.561,256,255,0.11,0.10,6.23,96,526,18.25,93,512,81.84,6,10,2358,10.7,2462,.900,
30,Washington Capitals,82,29,41,12,70,.427,237,306,-0.86,-0.02,6.62,72,490,14.69,116,550,78.91,15,18,2445,9.4,2871,.899,
,League Average,82,40,32,9,90,.548,251,255,-0.05,0.00,6.17,84,479,17.53,86,482,82.18,11,11,2622,9.6,2541,.901,
