
Rk,Team ▴,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,Anaheim Ducks*,48,30,12,6,66,.688,140,118,0.43,-0.02,5.38,29,135,21.48,30,162,81.48,5,5,1347,9.9,1336,.917,101.6
2,Boston Bruins*,48,28,14,6,62,.646,131,109,0.44,-0.02,5.00,18,122,14.75,21,163,87.12,5,2,1557,8.2,1368,.926,100.5
3,Buffalo Sabres,48,21,21,6,48,.500,125,143,-0.31,0.07,5.58,23,163,14.11,37,178,79.21,7,7,1339,8.8,1602,.916,100.3
4,Calgary Flames,48,19,25,4,42,.438,128,160,-0.65,0.02,6.00,31,155,20.00,28,151,81.46,6,2,1293,9.9,1408,.891,98.8
5,Carolina Hurricanes,48,19,25,4,42,.438,128,160,-0.65,0.02,6.00,24,165,14.55,36,161,77.64,3,4,1545,8.2,1538,.902,98.1
6,Chicago Blackhawks*,48,36,7,5,77,.802,155,102,1.04,-0.07,5.35,25,150,16.67,18,141,87.23,5,5,1494,10.0,1257,.924,102.2
7,Colorado Avalanche,48,16,25,7,39,.406,116,152,-0.73,0.02,5.58,21,140,15.00,36,183,80.33,3,3,1415,8.1,1501,.905,98.2
8,Columbus Blue Jackets,48,24,17,7,55,.573,120,119,0.03,0.01,4.98,22,155,14.19,25,144,82.64,3,2,1283,9.0,1430,.924,101.1
9,Dallas Stars,48,22,22,4,48,.500,130,142,-0.21,0.05,5.67,29,171,16.96,34,179,81.01,2,3,1261,10.2,1484,.908,100.9
10,Detroit Red Wings*,48,24,16,8,56,.583,124,115,0.20,0.01,4.98,34,185,18.38,30,164,81.71,3,5,1447,8.4,1320,.918,100.3
11,Edmonton Oilers,48,19,22,7,45,.469,125,134,-0.22,-0.03,5.40,34,169,20.12,29,175,83.43,4,1,1285,9.6,1567,.920,101.4
12,Florida Panthers,48,15,27,6,36,.375,112,171,-1.18,0.05,5.90,29,142,20.42,39,151,74.17,4,1,1400,7.8,1497,.891,96.6
13,Los Angeles Kings*,48,27,16,5,59,.615,133,118,0.29,-0.02,5.23,33,166,19.88,27,161,83.23,2,1,1431,9.2,1195,.907,99.8
14,Minnesota Wild*,48,26,19,3,55,.573,122,127,-0.16,-0.05,5.19,27,151,17.88,26,135,80.74,1,0,1382,8.5,1297,.905,99.1
15,Montreal Canadiens*,48,29,14,5,63,.656,149,126,0.46,-0.02,5.73,42,203,20.69,35,173,79.77,0,2,1468,9.9,1291,.905,100.7
16,Nashville Predators,48,16,23,9,41,.427,111,139,-0.50,0.09,5.21,24,140,17.14,34,139,75.54,1,4,1244,8.8,1330,.904,99.0
17,New Jersey Devils,48,19,19,10,48,.500,112,129,-0.31,0.04,5.02,28,176,15.91,32,169,81.07,11,6,1362,8.1,1105,.894,97.1
18,New York Islanders*,48,24,17,7,55,.573,139,139,0.03,0.03,5.79,31,156,19.87,28,142,80.28,2,0,1485,9.1,1344,.905,99.2
19,New York Rangers*,48,26,18,4,56,.583,130,112,0.38,0.00,5.04,24,153,15.69,28,148,81.08,5,4,1483,8.5,1346,.925,100.6
20,Ottawa Senators*,48,25,17,6,56,.583,116,104,0.27,0.02,4.58,25,157,15.92,20,167,88.02,2,1,1591,7.0,1500,.935,100.4
21,Philadelphia Flyers,48,23,22,3,49,.510,133,141,-0.14,0.03,5.71,37,171,21.64,26,184,85.87,2,3,1394,9.5,1362,.905,99.5
22,Phoenix Coyotes,48,21,18,9,51,.531,125,131,-0.10,0.03,5.33,25,169,14.79,34,169,79.88,2,2,1482,8.2,1464,.917,99.9
23,Pittsburgh Penguins*,48,36,12,0,72,.750,165,119,0.91,-0.05,5.92,42,170,24.71,34,167,79.64,2,3,1438,11.3,1400,.917,103.0
24,San Jose Sharks*,48,25,16,7,57,.594,124,116,0.17,0.01,5.00,34,169,20.12,22,147,85.03,3,4,1526,7.6,1386,.922,99.7
25,St. Louis Blues*,48,29,17,2,60,.625,129,115,0.31,0.02,5.08,29,149,19.46,23,150,84.67,3,5,1336,9.3,1158,.904,99.5
26,Tampa Bay Lightning,48,18,26,4,40,.417,148,150,-0.11,-0.07,6.21,31,163,19.02,30,155,80.65,0,4,1323,11.1,1444,.903,101.2
27,Toronto Maple Leafs*,48,26,17,5,57,.594,145,133,0.27,0.02,5.79,31,166,18.67,19,157,87.90,1,4,1264,11.5,1543,.921,103.3
28,Vancouver Canucks*,48,26,15,7,59,.615,127,121,0.07,-0.06,5.17,26,165,15.76,27,169,84.02,2,3,1350,9.0,1386,.919,100.8
29,Washington Capitals*,48,27,18,3,57,.594,149,130,0.31,-0.09,5.81,44,164,26.83,36,163,77.91,3,4,1350,10.8,1549,.917,102.7
30,Winnipeg Jets,48,24,21,3,51,.531,128,144,-0.36,-0.03,5.67,20,145,13.79,28,138,79.71,1,3,1389,9.1,1419,.904,99.3
,League Average,48,24,19,5,53,.552,130,131,-0.02,0.00,5.45,29,160,18.20,29,160,81.74,3,3,1437,9.1,1390,.912,
